PROVINCIA,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
ALBACETE,2,0,0,2,1,1,0,1,0,1,1,3
ALICANTE,2,0,1,3,0,1,0,1,0,1,1,2
ALMERÍA,2,1,0,2,1,0,0,1,0,1,1,3
ÁVILA,2,0,0,3,1,0,0,1,0,1,1,3
BADAJOZ,2,0,0,2,1,0,0,1,1,1,1,3
BARCELONA,2,0,0,2,0,2,0,1,0,1,1,3
BILBAO,2,0,0,3,0,0,1,1,1,1,1,2
BURGOS,2,0,0,3,1,0,0,1,0,1,1,3
CÁCERES,2,0,0,2,1,0,0,1,1,1,1,3
CÁDIZ,2,1,0,2,1,0,0,1,0,1,1,3
CASTELLÓN,2,0,1,3,0,1,0,1,0,1,1,2
CEUTA,2,0,0,2,0,0,1,2,1,1,1,2
CIUDAD REAL,2,0,0,2,1,1,0,1,0,1,1,3
CÓRDOBA,2,1,0,2,1,0,0,1,0,1,1,3
CORUÑA,2,0,0,2,1,1,1,1,0,1,1,2
CUENCA,2,0,0,2,1,1,0,1,0,1,1,3
GIRONA,2,0,0,2,0,2,0,1,0,1,1,3
GRANADA,2,1,0,2,1,0,0,1,0,1,1,3
GUADALAJARA,2,0,0,2,1,1,0,1,0,1,1,3
HUELVA,2,1,0,2,1,0,0,1,0,1,1,3
HUESCA,2,0,0,3,1,0,0,1,0,1,1,3
JAÉN,2,1,0,2,1,0,0,1,0,1,1,3
LEÓN,2,0,0,3,1,0,0,1,0,1,1,3
LLEIDA,2,0,0,2,0,2,0,1,0,1,1,3
LOGROÑO,2,0,0,3,0,1,0,1,0,1,1,3
LUGO,2,0,0,2,1,1,1,1,0,1,1,2
MADRID,2,0,0,2,1,0,1,1,0,1,1,3
MÁLAGA,2,1,0,2,1,0,0,1,0,1,1,3
MELILLA,2,0,0,2,1,0,1,1,0,1,1,3
MURCIA,2,0,0,2,1,1,0,1,0,1,1,3
OURENSE,2,0,0,2,1,1,1,1,0,1,1,2
OVIEDO,2,0,0,2,1,0,0,1,1,1,1,3
PALENCIA,2,0,0,3,1,0,0,1,0,1,1,3
P. MALLORCA,2,0,1,3,0,0,0,1,0,1,1,3
PALMAS,2,0,0,2,1,0,0,1,0,2,1,3
PAMPLONA,2,0,0,3,0,0,1,1,0,1,1,3
PONTEVEDRA,2,0,0,2,1,1,1,1,0,1,1,2
VIGO(*),2,0,0,2,1,1,1,1,0,1,1,2
SALAMANCA,2,0,0,3,1,0,0,1,0,1,1,3
SAN SEBASTIÁN,2,0,0,3,0,0,1,1,1,1,1,2
S.C. TENERIFE,2,1,0,2,1,0,0,1,0,1,1,3
SANTANDER,2,0,0,2,0,0,1,1,1,1,1,3
SEGOVIA,2,0,0,3,1,0,0,1,0,1,1,3
SEVILLA,2,1,0,2,1,0,0,1,0,1,1,3
SORIA,2,0,0,3,1,0,0,1,0,1,1,3
TARRAGONA,2,0,0,2,0,2,0,1,0,1,1,3
TERUEL,2,0,0,3,1,0,0,1,0,1,1,3
TOLEDO,2,0,0,2,1,1,0,1,0,1,1,3
VALENCIA,2,0,1,3,0,1,0,1,0,1,1,2
VALLADOLID,2,0,0,3,1,0,0,1,0,1,1,3
VITORIA,2,0,0,3,0,0,1,1,1,1,1,2
ZAMORA,2,0,0,3,1,0,0,1,0,1,1,3
ZARAGOZA,2,0,0,3,1,0,0,1,0,1,1,3
