Tipo de indicador	Tipo de dato	Periodo	Total
Condenados	Dato base	2022	36.161
Condenados	Dato base	2021	33.068
Condenados	Dato base	2020	25.436
Condenados	Dato base	2019	30.495
Condenados	Dato base	2018	27.972
Condenados	Dato base	2017	27.202
Condenados	Dato base	2016	25.959
Condenados	Dato base	2015	24.265
Absueltos	Dato base	2022	""
Absueltos	Dato base	2021	4.263
Absueltos	Dato base	2020	3.489
Absueltos	Dato base	2019	5.149
Absueltos	Dato base	2018	5.025
Absueltos	Dato base	2017	6.181
Absueltos	Dato base	2016	6.288
Absueltos	Dato base	2015	6.768
