comunidad,año,total_normativas
pais vasco,2003,0
extremadura,2016,0
comunidad de madrid,2016,0
castilla y leon,2016,0
pais vasco,2017,0
cataluna,2017,0
galicia,2017,0
andalucia,2017,0
principado de asturias,2017,0
cantabria,2017,0
la rioja,2017,0
region de murcia,2017,0
comunitat valenciana,2017,0
aragon,2017,0
castilla-la mancha,2017,0
comunidad foral de navarra,2017,0
extremadura,2017,0
islas baleares,2017,0
comunidad de madrid,2017,0
pais vasco,2018,0
cataluna,2018,0
galicia,2018,0
principado de asturias,2018,0
cantabria,2018,0
la rioja,2018,0
region de murcia,2018,0
comunitat valenciana,2018,0
aragon,2018,0
comunidad foral de navarra,2016,0
canarias,2016,0
castilla-la mancha,2016,0
aragon,2016,0
canarias,2012,0
comunidad foral de navarra,2012,0
extremadura,2012,0
islas baleares,2012,0
comunidad de madrid,2012,0
comunidad de madrid,2022,0
pais vasco,2015,0
andalucia,2015,0
principado de asturias,2015,0
cantabria,2015,0
la rioja,2015,0
region de murcia,2015,0
comunitat valenciana,2015,0
canarias,2018,0
aragon,2015,0
canarias,2015,0
extremadura,2015,0
islas baleares,2015,0
comunidad de madrid,2015,0
castilla y leon,2015,0
pais vasco,2016,0
cataluna,2016,0
andalucia,2016,0
principado de asturias,2016,0
cantabria,2016,0
la rioja,2016,0
region de murcia,2016,0
comunitat valenciana,2016,0
castilla-la mancha,2015,0
extremadura,2018,0
islas baleares,2018,0
castilla y leon,2018,0
cataluna,2021,0
andalucia,2021,0
principado de asturias,2021,0
cantabria,2021,0
la rioja,2021,0
region de murcia,2021,0
comunitat valenciana,2021,0
aragon,2021,0
castilla-la mancha,2021,0
canarias,2021,0
comunidad foral de navarra,2021,0
extremadura,2021,0
islas baleares,2021,0
pais vasco,2021,0
comunidad de madrid,2021,0
cataluna,2022,0
galicia,2022,0
andalucia,2022,0
principado de asturias,2022,0
cantabria,2022,0
region de murcia,2022,0
comunitat valenciana,2022,0
aragon,2022,0
castilla-la mancha,2022,0
canarias,2022,0
comunidad foral de navarra,2022,0
extremadura,2022,0
islas baleares,2022,0
castilla y leon,2021,0
castilla-la mancha,2012,0
castilla y leon,2020,0
islas baleares,2020,0
pais vasco,2019,0
cataluna,2019,0
galicia,2019,0
andalucia,2019,0
principado de asturias,2019,0
cantabria,2019,0
la rioja,2019,0
comunitat valenciana,2019,0
aragon,2019,0
castilla-la mancha,2019,0
canarias,2019,0
extremadura,2019,0
islas baleares,2019,0
comunidad de madrid,2020,0
comunidad de madrid,2019,0
pais vasco,2020,0
galicia,2020,0
andalucia,2020,0
principado de asturias,2020,0
cantabria,2020,0
la rioja,2020,0
region de murcia,2020,0
comunitat valenciana,2020,0
aragon,2020,0
castilla-la mancha,2020,0
canarias,2020,0
comunidad foral de navarra,2020,0
extremadura,2020,0
castilla y leon,2019,0
aragon,2012,0
castilla y leon,2012,0
castilla y leon,2022,0
cataluna,2004,0
pais vasco,2004,0
principado de asturias,2007,0
cantabria,2007,0
la rioja,2007,0
comunidad de madrid,2003,0
comunitat valenciana,2007,0
islas baleares,2003,0
castilla-la mancha,2007,0
canarias,2007,0
comunidad foral de navarra,2007,0
cataluna,2007,0
region de murcia,2012,0
extremadura,2003,0
islas baleares,2007,0
comunidad de madrid,2007,0
castilla y leon,2007,0
pais vasco,2008,0
comunidad foral de navarra,2003,0
galicia,2008,0
andalucia,2008,0
principado de asturias,2008,0
cantabria,2008,0
castilla-la mancha,2003,0
extremadura,2007,0
pais vasco,2007,0
castilla y leon,2005,0
galicia,2004,0
aragon,2004,0
castilla-la mancha,2004,0
la rioja,2004,0
canarias,2004,0
comunidad foral de navarra,2004,0
extremadura,2004,0
islas baleares,2004,0
comunidad de madrid,2004,0
castilla y leon,2004,0
cataluna,2005,0
galicia,2005,0
andalucia,2005,0
principado de asturias,2005,0
cantabria,2005,0
la rioja,2005,0
region de murcia,2005,0
comunitat valenciana,2005,0
aragon,2005,0
castilla-la mancha,2005,0
principado de asturias,2004,0
canarias,2005,0
comunidad foral de navarra,2005,0
extremadura,2005,0
islas baleares,2005,0
andalucia,2004,0
comunitat valenciana,2004,0
region de murcia,2008,0
la rioja,2008,0
aragon,2008,0
cataluna,2011,0
galicia,2011,0
andalucia,2011,0
cantabria,2003,0
cantabria,2011,0
principado de asturias,2003,0
la rioja,2011,0
region de murcia,2011,0
comunitat valenciana,2011,0
aragon,2011,0
castilla-la mancha,2011,0
canarias,2011,0
pais vasco,2011,0
comunidad foral de navarra,2011,0
islas baleares,2011,0
galicia,2003,0
cataluna,2003,0
comunidad de madrid,2011,0
castilla y leon,2011,0
pais vasco,2012,0
cataluna,2012,0
galicia,2012,0
andalucia,2012,0
principado de asturias,2012,0
cantabria,2012,0
la rioja,2012,0
andalucia,2003,0
comunitat valenciana,2008,0
la rioja,2003,0
comunidad de madrid,2010,0
aragon,2003,0
castilla-la mancha,2008,0
canarias,2008,0
comunidad foral de navarra,2008,0
extremadura,2008,0
islas baleares,2008,0
comunidad de madrid,2008,0
castilla y leon,2008,0
pais vasco,2010,0
cataluna,2010,0
galicia,2010,0
region de murcia,2003,0
principado de asturias,2010,0
andalucia,2010,0
la rioja,2010,0
region de murcia,2010,0
comunitat valenciana,2010,0
aragon,2010,0
comunitat valenciana,2003,0
canarias,2010,0
comunidad foral de navarra,2010,0
extremadura,2010,0
islas baleares,2010,0
cantabria,2010,0
region de murcia,2004,0
la rioja,2022,1
pais vasco,2022,1
cantabria,2004,1
canarias,2003,1
castilla y leon,2003,1
comunitat valenciana,2012,1
pais vasco,2005,1
cataluna,2015,1
galicia,2015,1
extremadura,2011,1
comunidad foral de navarra,2015,1
principado de asturias,2011,1
galicia,2016,1
castilla y leon,2010,1
castilla-la mancha,2010,1
islas baleares,2016,1
canarias,2017,1
castilla y leon,2017,1
andalucia,2018,1
cataluna,2008,1
castilla-la mancha,2018,1
comunidad de madrid,2018,1
aragon,2007,1
region de murcia,2007,1
andalucia,2007,1
region de murcia,2019,1
galicia,2007,1
comunidad foral de navarra,2019,1
comunidad de madrid,2005,1
cataluna,2020,1
galicia,2021,1
comunidad foral de navarra,2018,1
